id,rsrp,rsrq,snr,download,upload,jitterD,jitterU,ping,vazao,tempoDeCarregamento
Marcelo,0,0,0,0,0,0,0,50,116.6079293045059,1.764
Marcelo,0,0,0,0,0,0,0,59,23.566032135209927,8.778333333333334
Marcelo,0,0,0,0,0,0,0,10,23.880045685498562,8.623000000000001
Marcelo,0,0,0,0,0,0,0,10,18.600593855806782,11.081666666666665
Marcelo,0,0,0,0,0,0,0,140,25.166042369820648,8.448666666666666
Marcelo,0,0,0,0,0,0,0,159,19.929972925873958,10.442666666666666
Marcelo,0,0,0,0,0,0,0,64,21.80280318112175,9.551
Marcelo,0,0,0,0,0,0,0,44,191.11439613807906,1.0763333333333334
hello,0,0,0,0,0,0,0,0,561.2205475360364,9.152
,0,0,0,0,0,,,0,395.16005932064974,12.998
,0,0,0,0,0,,,0,256.13576278112026,20.053
,0,0,0,0,0,,,0,363.3482209288204,14.136
,0,0,0,0,0,,,0,388.7594952353773,13.212
edge4,0,0,0,0,0,,,120,0.8258087254379078,22.529
edge4,0,0,0,0,0,,,83,0.31047067577916404,59.924
,0,0,0,0,0,,,166,0.7226507972573558,25.745
,0,0,0,0,0,,,46,0.6571989393970336,28.309
testeedge,0,0,0,0,0,,,113,0.8136023429129586,22.867
testeedge,0,0,0,0,0,,,229,0.6587347227769934,28.243
